Genes,M_Log2FC,S_Log2FC,GB_log2FC,TTT-GB-Log2fc,Sham_C-1 Counts,Sham_C-2 Counts,Sham_C-3 Counts,TT_Treatment-1 Counts,TT_Treatment-2 Counts,TT_Treatment-3 Counts,GBT-P-adj,MSG_Regulated,Control_GB-TT-Exp,Glioblastoma_TT-Exp,GB-TT-Regulated,GBT-UP,GBT-DOWN,GeneID
Emg1,0.344234158,0.637762541,0.674802922,0.255521047,352.0504614,299.0619383,280.9766643,410.4780444,336.6198317,369.318974,0.600910242,1,1,1,0,0,0,ENSMUSG00000004268
Utp20,0.901798837,0.891912557,0.571273632,0.254530979,653.3900531,685.7643841,662.3021373,723.9340056,868.1248291,793.1409684,0.399142882,1,1,1,0,0,0,ENSMUSG00000004356
Il11,3.869370388,7.507588796,4.195683434,2.84265736,0,1.807020775,2.675968232,3.731618585,13.69028024,13.01564666,0.168890904,1,0,0,0,0,0,ENSMUSG00000004371
Bid,3.331445201,1.04800318,1.22399095,0.563525462,38.03315234,40.65796744,29.43565055,34.82844013,74.0885754,50.43563081,0.627902016,1,1,1,0,0,0,ENSMUSG00000004446
Ndrg2,0.594401392,-0.611222514,-1.16648207,-0.340805325,1638.351178,1700.406549,1715.295636,1195.36182,1354.532433,1436.602,0.08243991,1,1,1,0,0,0,ENSMUSG00000004558
Cd244a,2.03004374,2.691033135,5.03243454,3.939966972,4.876045172,3.61404155,0,47.26716875,53.95581035,39.04693998,5.27E-07,1,0,1,1,1,0,ENSMUSG00000004709
Ulk2,-0.697151355,-0.514624137,-0.921367069,-0.184293487,1626.64867,1979.591259,1743.393303,1659.326398,1342.452774,1709.117102,0.679727558,1,1,1,0,0,0,ENSMUSG00000004798
Plod3,1.547635954,0.772707748,0.608696287,0.328563054,458.3482462,549.3343156,416.11306,548.5479321,668.4077998,572.6884531,0.311877889,1,1,1,0,0,0,ENSMUSG00000004846
Hspb1,2.424582898,0.635737968,-1.247148907,-0.132753379,287.6866652,482.4745469,210.0635062,235.0919709,281.0534002,379.080709,0.938664018,1,1,1,0,0,0,ENSMUSG00000004951
Hnrnpa2b1,0.731276254,0.41300907,0.922442762,-0.071351429,5751.782885,5952.326433,5860.370427,6002.930431,5696.7672,5020.7857,0.918022612,1,1,1,0,0,0,ENSMUSG00000004980
Mri1,-1.178886532,0.967068032,1.414943722,0.11240947,68.26463241,70.47381023,70.91315814,60.94977023,74.893886,89.4825708,0.958980772,1,1,1,0,0,0,ENSMUSG00000004996
Prkacb,-0.620600298,-0.305053611,-0.946340287,-0.218210272,4447.928406,4869.017478,4372.53209,3995.319632,3826.030671,3949.435284,0.324170995,1,1,1,0,0,0,ENSMUSG00000005034
Cstb,-0.401045923,0.603742234,1.361880811,0.688463631,67.28942338,79.5089141,74.92711048,128.1189048,108.7169313,121.2082095,0.098571979,1,1,1,0,0,0,ENSMUSG00000005054
Sh2b2,1.914472255,1.256543317,1.863151816,0.967502728,13.65292648,3.61404155,22.74572997,21.14583865,36.2389771,18.70999208,0.578426742,1,0,1,0,0,0,ENSMUSG00000005057
Cd44,2.703690038,2.68232794,3.540475625,2.597899754,106.2977848,130.1054958,68.2371899,614.4731937,774.7087993,473.4441473,1.66E-25,1,1,1,1,1,0,ENSMUSG00000005087
Mcm5,-1.001445912,1.080156599,2.701756864,1.00345635,102.3969486,101.1931634,120.4185704,213.9461322,219.8497944,213.1312141,0.000122645,1,1,1,1,1,0,ENSMUSG00000005410
Hmox1,1.758118622,3.899685002,1.798147523,0.605926596,98.49611248,69.57029984,107.0387293,149.2647434,144.9559084,122.8351654,0.181230017,1,1,1,0,0,0,ENSMUSG00000005413
Ddx39a,0.825769534,1.475259417,0.761392553,0.039366043,334.4966988,355.0795823,301.046426,333.357927,376.0800512,309.9350861,0.976431472,1,1,1,0,0,0,ENSMUSG00000005481
