Genes,DT_GBLog2FC,DT_GB-Padj,M_Log2FC,S_Log2FC,GB_log2FC,SHAM-1 DTGB,SHAM-2 DTGB,SHAM-3 GTGB,Double_Therapy-GB-1 Counts,Double_Therapy-GB-2 Counts,Double_Therapy-GB-3 Counts,H1,H2,H3,H4,M1,M2,M3,M4,S-SHAM-1,S-SHAM-2,S-SHAM-3,STROKE-1,STROKE-2,STROKE-3,GB-SHAM-1,GB-SHAM-2,GB-SHAM-3,GB-1,GB-2,GB-3,rMSG,M_Control_Exp,Meningitis_Exp,M_UP,M_DOWN,S_Control_Exp,Stroke_Exp,S_UP,S_DOWN,GB_Control_Exp,Glioblastoma_Exp,GB_UP,GB_DOWN,GB-Control_Exp,DT-GB_Exp,Regulated_DT-GB,UP-DT_GB,DOWN-DT_GB,GeneID
Jmjd6,0.198404311,0.724740588,0.852296431,0.550639981,0.64638776,158.4138369,213.5534442,236.4341703,222.4092476,265.9872028,209.3037672,441.3753077,454.6565858,478.8608295,601.1935733,1012.774188,679.0233124,893.3538828,982.1304204,530.4002671,553.6328155,517.4517987,816.3790115,893.1027977,637.5134278,146.7791125,200.1122814,218.8170564,301.5159282,339.3173552,242.7690383,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000056962
Ebf1,-0.211221627,0.451183722,-0.905642061,-0.49854758,-1.031271069,2949.076197,3656.679014,2682.129567,2631.842763,2830.863802,2564.815115,2197.6007,2186.889451,2061.278207,2581.756923,1199.802174,1198.276434,1145.741973,1274.323874,2093.420409,1559.516641,2104.373813,1216.998669,1310.011598,1545.853728,2732.480919,3426.52577,2482.279511,984.5150525,1775.165532,1465.460065,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000057098
Npm1,0.285014089,0.14566642,0.73735668,0.863799748,1.135802269,3157.224611,3630.408551,3053.305791,4056.592601,3888.875399,4047.664788,3558.05699,3786.477784,3719.152442,4390.811333,6161.337046,5612.467728,6557.092555,7433.555934,2274.581791,2247.149756,2464.70462,4335.776119,4411.009856,3966.5434,2925.341846,3401.908783,2825.798761,7780.421886,6709.554229,5628.899928,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000057113
Chd6,-0.223054121,0.34539865,-0.317558992,-0.547914719,-0.502473761,2098.983339,1887.236191,2073.248021,1641.456284,1676.669332,1871.074403,814.7278008,699.0017758,740.7831923,724.3515891,646.9521526,572.1500088,574.7451554,597.2588664,1287.252261,1116.08144,1140.698398,755.820226,792.7004489,873.9052681,1944.82324,1768.452582,1918.766769,1321.426329,1317.980043,1335.721146,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000057133
Scimp,4.062534032,0.003346679,3.762880826,3.306514642,4.44222417,3.684042719,0,0,26.61307236,20.18652879,17.72330287,0.772986528,4.363306965,0.725546711,1.824563197,27.05436275,20.51103805,26.23836579,27.03111249,0,0.881580916,3.14241983,17.46888042,7.649702764,13.96014805,3.413467732,0,0,34.08440927,9.822344494,34.40047101,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,ENSMUSG00000057135
5730455P16Rik,-0.194300179,0.539516554,-0.579853615,-0.476543354,-0.660580118,644.7074759,620.3219093,641.931484,537.0137816,597.2837635,533.3870196,316.9244766,295.8322122,293.8464181,242.6669052,219.9637319,183.5198142,212.4058183,153.1763041,419.6905339,345.5797192,335.1914486,243.3997338,249.5715527,296.8858153,597.3568531,581.2785315,594.1000726,388.0378902,320.5656067,413.7885227,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000057181
AB124611,2.032630293,4.46E-09,2.685329451,1.752531267,1.927771731,41.44548059,50.84605814,40.67684651,214.8055126,128.2438299,201.7080659,48.69815128,72.43089562,49.33717637,53.8246143,351.7067157,267.723023,401.0721628,419.6258415,26.16775511,59.0659214,54.46861039,179.3471723,136.7384369,156.3536582,38.40151199,47.64578127,37.64594519,166.4892299,128.5834188,177.8995787,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,ENSMUSG00000057191
Fam136a,0.367359321,0.307669994,-0.663271106,0.390085832,0.581667075,221.9635738,219.4854843,205.9265355,287.0409947,237.488574,309.7358167,495.4843646,667.5859657,470.8798156,568.3514358,354.059269,329.2561372,387.3282569,319.2245665,320.0517741,315.6059681,343.5712348,448.3679307,431.2519933,403.913617,205.6614309,205.6709558,190.5825975,327.7347046,293.7773944,281.1009917,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000057497
Pus7,0.0826842,0.910934082,0.463801104,1.068944362,1.310739917,198.9383069,173.724032,216.0957471,185.3410397,178.1164305,257.409875,263.5884062,252.1991426,277.8843904,292.8423931,379.9373551,327.0970805,392.3260408,400.317904,267.7162638,227.4478764,211.5896019,517.0788603,497.2306797,469.0609746,184.3272575,162.7897527,199.9940838,558.4599366,413.4314091,385.2852753,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000057541
Eif1a,0.477039726,0.029906429,2.411878511,0.565924879,1.021500652,589.4468351,592.3565773,486.8510067,805.0454389,809.8360372,712.3079818,791.538205,950.328257,1196.426527,1265.334577,5174.440944,4318.113274,6297.207789,6580.145097,881.6520569,1007.646987,1490.554473,1728.254569,1812.979555,1461.162163,546.1548371,555.0733518,450.5749065,1076.28077,1151.000187,926.8469761,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,ENSMUSG00000057561
Sptan1,-0.346527533,0.060457332,-0.675101655,-0.318624374,-0.726658152,22223.06669,23228.17423,27074.25481,18052.21726,20745.81438,18240.65452,18765.02096,18506.53016,23032.48035,20373.07265,13809.48777,13009.39577,10977.63247,12730.36679,23340.63111,18881.70007,21288.84688,17022.84167,16854.20762,17047.20213,20590.89073,21766.18108,25056.90583,13024.17716,14898.71072,12812.70115,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000057738
Megf6,-0.060387737,0.927794368,-4.451127681,-1.226569232,-0.685686346,338.0109195,333.0416808,310.1609546,290.8428622,400.1682471,253.1900409,1377.461993,1547.22865,1306.709627,1698.668336,47.05106564,158.6906628,33.73504173,30.89269999,1862.942874,1680.293227,1796.41667,652.1715355,719.0720598,908.3403,313.1856644,312.0798673,287.0503321,180.9095569,218.7704001,167.0880021,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000057751
Bak1,0.540236825,0.316889272,0.883639438,0.739052683,1.202539686,69.99681167,77.11652151,62.28642122,114.0560244,105.6824154,86.08461392,538.7716102,687.6571777,510.7848848,720.7024627,1150.398555,1038.506242,1193.22092,1149.465879,359.3034067,385.2508605,400.1347917,701.0844007,668.392779,542.584421,64.85588691,72.26276827,57.64535358,187.464251,145.5492866,117.944472,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000057789
Mdn1,0.092940284,0.808353102,1.073548674,0.445298826,0.829736418,1470.854056,1197.424669,1465.637626,1459.917112,1484.303587,1462.59447,158.4622383,161.4423577,205.3297193,149.6141821,371.7034186,314.1427407,332.3526333,405.4666873,291.8711147,321.7770345,301.6723037,482.1410995,409.2590979,357.3797902,1362.826992,1122.058149,1356.430463,2620.566698,1765.343188,2442.433442,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000058006
Palld,-0.293348818,0.358736624,0.622190488,-0.610329536,-1.259070963,1911.097161,2833.820307,1833.000396,1977.921556,1585.236231,1806.088959,1343.450586,1103.044001,1473.585371,1076.492286,1586.797189,1850.311538,2242.755552,2014.461478,972.2327476,845.4360988,1171.075123,548.5228451,537.3916192,870.182562,1770.736386,2655.45821,1696.420405,492.9129957,979.5556281,1083.123402,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000058056
Zfp729b,-0.218414611,0.479567643,-0.520232515,-0.460490043,-0.58885394,572.8686429,658.4564529,613.966152,513.2521098,518.9125341,553.6422229,222.6201202,231.2552692,235.0771345,228.9826812,171.7363896,127.3843416,177.4213306,164.7610666,253.6259342,217.7504864,238.8239071,165.3720679,173.074525,176.828542,530.7942323,617.0128675,568.2184853,398.5254007,422.3608132,320.4158157,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000058093
