Genes,M_Log2FC,S_Log2FC,GB_log2FC,H-GBM_log2FC,H1,H2,H3,H4,M1,M2,M3,M4,M_AdjP,S-SHAM-1,S-SHAM-2,S-SHAM-3,STROKE-1,STROKE-2,STROKE-3,S_AdjP,GB-SHAM-1,GB-SHAM-2,GB-SHAM-3,GB-1,GB-2,GB-3,GB_AdjP,Mus_GeneID,H-GB-Control-1,H-GB-Control-2,H-GB-Control-3,H-GBM-1,H-GBM-2,H-GBM-3,H-GBM-4,H-GBM-5,H-GBM-6,H-GBM_Padj_Value,MSG_Genes,M_Control_Exp,Meningitis_Exp,M_UP,M_DOWN,S_Control_Exp,Stroke_Exp,S_UP,S_DOWN,GB_Control_Exp,Glioblastoma_Exp,GB_UP,GB_DOWN,H-Control-GBM,H-GBM,H-GBM-Regulated,HBM-UP,HBM-DOWN
Phlda1,1.948290488,0.595785468,1.733482771,2.683569475,209.4793492,212.0567185,207.5063594,239.9300604,883.3837575,443.6861389,773.4070678,1253.728741,2.87E-13,224.4388227,300.6190925,400.1347917,485.6348756,421.6898649,490.4665349,0.049890755,145.0723786,147.7019219,110.584964,724.9491665,224.1280425,398.0625931,2.65E-06,ENSMUSG00000020205,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.006489054,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0
Vps13d,-0.804710814,-0.475738671,-0.567474496,#N/A,1671.969861,1811.645052,1672.38517,1484.28216,1001.011422,1002.881808,859.6188411,937.0785663,1.56E-11,2325.910849,1734.069663,2073.997088,1374.218593,1564.364215,1470.468928,0.01001733,4118.348819,4160.270802,4452.809455,2349.202362,3275.305418,2962.371989,0.005070414,ENSMUSG00000020220,219.1695583,164.8974483,108.5159713,143.7802587,104.5343234,312.9692287,140.8663241,561.5540352,3.687349786,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0
Ncln,0.294533826,0.672935324,0.848873389,#N/A,844.8742754,998.3246336,933.0530708,842.0359153,1118.639086,1133.504735,1123.251945,1061.936562,0.025315574,844.4133284,841.9097752,775.1302248,1412.65013,1397.026967,1116.811844,2.92E-05,262.8370154,293.0215548,252.9336943,557.1489978,430.3972769,472.7607587,0.000259295,ENSMUSG00000020238,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Txnrd1,2.104266971,0.933583473,1.042956237,#N/A,1041.212854,1248.778453,1081.790147,995.2992238,4406.332298,3837.723173,4706.663044,5828.422731,8.52E-43,1157.419938,1265.068615,1331.338535,2662.257375,2642.972305,1866.006456,8.97E-07,529.9408654,640.0416618,725.8608808,1449.898333,1280.476546,1173.547497,2.07E-07,ENSMUSG00000020250,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Cpeb4,0.863047812,-0.50348077,-0.817959311,#N/A,714.2395522,643.1514467,770.5306074,690.5971699,1111.581426,972.655015,1490.589066,1554.932566,3.07E-06,767.9229673,659.4225255,682.9525764,485.6348756,478.1064228,523.9708903,0.001293183,2077.948482,2271.115574,2143.466004,1120.85269,1207.255432,1353.412817,2.55E-06,ENSMUSG00000020300,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0
Sptbn1,-0.708050777,-0.559157198,-1.001323815,#N/A,43957.4249,36638.68859,44181.44144,40252.60096,27440.18148,24046.4933,22215.1497,27322.01875,2.27E-08,56839.38346,48605.96383,48414.21485,34711.82998,34976.35346,34735.64039,4.00E-06,80845.42313,86558.09084,95328.94472,38444.59178,52010.20703,40787.16417,1.98E-08,ENSMUSG00000020315,11368.8174,17243.96327,3429.939432,5662.845399,2857.948104,16349.69691,6714.628114,6817.871813,2208.722522,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0
Nudcd2,-0.591423904,0.550154697,1.306016954,#N/A,380.3093719,475.6004592,351.890155,398.6670585,255.2520311,273.1206646,296.1186996,240.7056207,0.000473922,285.832402,318.2507108,265.010739,433.2282343,448.4638245,392.7454986,0.002545556,149.3392133,184.2303543,170.5831892,542.7286708,371.4632099,335.1588747,1.04E-06,ENSMUSG00000020328,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0
Hcn2,-1.191987528,-1.093711075,-1.6089411,#N/A,1358.13733,1130.096504,1036.80625,848.4218864,554.026298,557.0366124,418.5644066,383.5843582,1.59E-09,705.5229359,625.0408697,662.0031109,265.5269823,332.7620702,333.1822002,1.69E-11,365.2410473,354.1669741,550.5719485,117.9844936,140.1916441,156.2764254,1.81E-09,ENSMUSG00000020331,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0
Cyfip2,0.640729579,-1.006697238,-1.352533822,#N/A,748.2509594,396.1882724,864.8516799,457.0530808,1125.696746,944.5872788,943.3317224,834.1028997,0.028912199,542.4776925,637.3830026,545.7335772,295.8063751,282.0827894,281.9949907,5.53E-11,2147.071203,1678.719694,3590.482023,1153.62616,825.9698779,924.8812349,5.23E-07,ENSMUSG00000020340,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0
Hnrnpab,0.812434168,0.621210039,0.855112551,#N/A,2509.887257,3160.779566,2861.556229,3457.547258,5337.943397,4780.151395,5067.752935,5868.325802,8.21E-09,2175.949483,2164.28115,2434.327895,3526.38466,3679.50703,3213.626082,9.78E-07,955.770965,1230.84935,1172.90648,2309.874198,2048.405297,1720.023551,2.28E-05,ENSMUSG00000020358,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Havcr2,0.894589568,1.404549615,3.013141009,#N/A,13.91375751,16.58056647,22.49194805,15.50878717,39.9934058,25.90867965,36.23393371,25.74391666,0.047099526,19.12259027,35.26323666,40.85145779,100.1549144,66.93489919,85.62224139,0.000827745,25.60100799,17.4701198,23.52871575,167.8001687,161.6222139,205.4199555,9.87E-18,ENSMUSG00000020399,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Upp1,8.101408178,3.859169444,3.889008524,#N/A,30.91946113,29.67048736,128.4217679,27.36844795,14221.18459,11495.89706,15558.10147,18305.21194,1.06E-43,66.4258399,52.01327407,133.0291061,1084.235178,1858.877772,701.7301088,1.08E-09,23.89427412,36.52843231,21.17584417,393.2816455,450.0419659,383.3195341,6.50E-42,ENSMUSG00000020407,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Myo1g,2.474103603,2.40712708,3.756025287,#N/A,20.87063626,29.67048736,18.13866778,10.03509758,88.22074808,168.4064177,76.21620539,104.2628625,2.82E-11,17.10968604,38.78956032,27.23430519,196.8160527,99.44613593,147.9775694,5.06E-09,11.94713706,23.82289064,15.29366523,156.0017194,205.376294,333.1931335,8.89E-21,ENSMUSG00000020437,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Pnpt1,1.902694345,0.653944741,1.001302199,#N/A,299.918773,356.9185098,301.1018852,376.7723001,1023.360678,879.8155796,1581.798623,1504.731929,1.09E-19,303.9485402,264.4742749,274.4379985,455.3554829,477.1502099,393.6761751,0.000272005,451.4311076,485.986969,544.6897695,1202.130896,826.8628183,938.6414233,3.97E-06,ENSMUSG00000020464,632.4055536,381.7938078,258.7688547,579.6141681,714.4870259,547.568094,295.6453715,584.8550325,154.868691,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0
Shmt1,1.56309894,1.368221712,2.161832761,#N/A,15.45973057,20.94387343,19.58976121,29.19301115,58.81383206,41.02207611,59.97340752,91.39090413,2.44E-05,19.12259027,37.90797941,28.28177847,80.35684992,67.89111203,73.52344641,0.000562838,34.13467732,41.29301044,28.2344589,196.6408227,138.4057633,133.6704016,1.70E-09,ENSMUSG00000020534,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Tspan13,-2.39304889,-0.673942847,-0.585532958,3.149876838,13382.71576,17457.59117,9000.406954,16314.33182,2373.726262,3594.829301,2665.068297,2055.651745,2.18E-25,5925.990081,5078.787659,5482.47513,3246.882573,3177.495286,3907.910778,6.38E-06,4244.647125,4935.308844,4376.341129,2982.385812,3259.232491,2792.335375,0.001037271,ENSMUSG00000020577,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.034756211,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,0
Snx13,-0.33144871,-0.526129274,-0.750880643,#N/A,1413.019374,1492.250982,1505.509426,1771.650864,1085.70334,1315.94502,1263.189896,1247.292762,0.026747063,1801.549294,1526.898147,1679.099663,1140.135595,1225.864868,1110.297108,0.000149781,2306.65082,2705.48628,2274.050377,1415.813924,1593.005689,1320.978087,4.20E-05,ENSMUSG00000020590,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0
Ntsr2,0.84648748,-1.329364505,-1.930369012,#N/A,864.9719252,480.8364276,632.6767323,411.4390008,1182.158024,1055.778696,1023.296266,1038.767037,0.000398859,636.0777397,535.1196163,802.36453,248.0581019,293.5573436,242.9065761,3.12E-10,292.704858,139.7609584,287.0503321,70.79069619,43.75408002,74.69816562,1.77E-07,ENSMUSG00000020591,0,0,0,0,0,0,0,0,0,#N/A,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0
Lpin1,0.701832409,-0.909643899,-0.760582149,#N/A,404.2719543,457.27457,410.6594386,614.8777973,841.0377984,962.9392602,575.9946014,686.0753789,0.002293715,566.6325434,588.0144712,942.7259491,376.163225,344.2366244,395.5375282,0.000541732,727.9219939,676.5700941,652.921862,321.1800105,486.6525226,403.9598167,0.001373339,ENSMUSG00000020593,262.6172681,287.6336172,129.3844274,287.5605175,277.0667018,136.7639674,150.7211698,336.6994111,62.68494636,#N/A,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0
Mboat2,0.502443756,-0.988119946,-1.333484592,#N/A,406.5909139,346.446573,362.7733557,332.0705018,666.9488555,470.6743469,424.8116366,489.1344165,0.012659876,289.8582105,352.6323666,340.4288149,146.7385955,167.337248,180.5512482,3.62E-07,741.5758648,549.5146774,691.7442429,291.0284177,217.8774597,279.1352505,3.74E-09,ENSMUSG00000020646,700.9563846,378.5145972,436.5681,278.5742513,273.0071164,214.1098815,289.2687066,167.7671806,483.042822,#N/A,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0
Ncoa1,-0.801140224,-0.571950405,-0.774900844,#N/A,893.5724267,795.8671905,895.3246418,883.0885872,555.2025746,485.7877434,502.277288,446.656954,1.12E-10,1097.03281,1042.028643,825.4089421,652.1715355,597.6330284,744.5412295,0.004670935,1669.185721,1559.60524,1925.825384,856.0430483,1111.710809,1040.859966,9.62E-05,ENSMUSG00000020647,1008.952372,1087.29255,90.98646827,564.6370578,350.1392386,1261.609182,686.3610193,676.8939719,95.87109444,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0
Klf11,-0.898683408,-0.407983551,-0.921723812,#N/A,1278.519718,1515.81284,1103.556548,1987.861603,789.2816262,759.9879363,797.1465416,809.6461788,4.06E-06,1002.426311,833.9755469,886.1623921,677.7925602,646.3998836,726.8583753,0.015708683,472.7652809,566.1907008,424.6933192,192.7080063,331.2808916,246.7005207,0.000905078,ENSMUSG00000020653,738.6110664,487.665465,256.26464,413.3682439,189.7856163,634.1340509,305.5002172,378.6412063,250.7397855,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0
Efr3b,-2.712108329,-0.932969665,-1.242244538,#N/A,5750.246784,6949.002673,4079.749158,5205.4788,830.4513086,1023.392846,764.6609459,734.9888205,4.46E-50,4496.828071,3513.099952,3180.128868,1764.356922,1937.287225,2158.238889,4.47E-07,3718.119727,3737.017445,3624.598661,1084.146403,1804.632566,1790.790234,6.52E-09,ENSMUSG00000020658,7109.010826,1327.611842,373.1279937,5435.193323,730.7253674,967.0800389,1696.772554,1370.098642,213.8662876,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0
Ccl11,5.918112827,4.272731949,4.426305166,#N/A,14.68674404,17.45322786,21.04085463,17.33335037,629.308003,559.195669,1378.138927,1704.247283,6.57E-62,27.17420723,39.67114124,59.70597677,828.0249317,1291.843554,324.8061114,1.91E-09,5.120201598,11.91144532,4.705743149,275.2971518,87.50816003,118.9273426,6.72E-16,ENSMUSG00000020676,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0
Itgb3,2.054042658,1.237434513,1.669083327,3.2166593,197.1115647,203.3301046,198.0742522,142.3159293,636.3656628,669.3075575,797.1465416,978.2688329,1.20E-27,222.4259185,234.5005238,231.4915942,464.6722191,696.1229515,461.6155623,4.17E-08,248.3297775,282.6983022,221.169928,909.7915399,634.8806304,854.1145517,2.91E-14,ENSMUSG00000020689,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.012038444,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0
Mettl2,0.808878664,0.548311397,1.127669968,#N/A,136.045629,160.5696963,123.3429409,156.0001533,234.0790516,243.9734,292.3703617,236.8440332,5.31E-06,146.9420095,144.5792703,122.5543734,207.2973809,207.4981875,191.7193666,0.017453922,77.6563909,66.70409378,52.93961043,158.623597,116.9751935,158.2421666,0.00193831,ENSMUSG00000020691,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Nle1,0.975245826,1.292946316,1.82871059,#N/A,86.57449117,95.99275323,78.35904482,76.63165426,179.9703261,158.6906628,159.9290867,164.7610666,1.17E-07,90.58069077,89.92125347,96.36754146,255.0456541,235.22836,188.927337,8.68E-09,25.60100799,41.29301044,29.41089468,144.20327,97.33050453,103.201413,7.63E-06,ENSMUSG00000020692,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Ftsj3,1.31286373,1.144270363,1.70987055,#N/A,388.0392372,493.0536871,499.9016841,649.544498,1329.192604,1100.039357,1245.697652,1367.001974,4.57E-14,428.748603,506.9090269,527.9265315,1205.352749,1079.564303,952.0820972,3.72E-12,238.0893743,242.1993881,242.3457722,845.5555378,937.5874289,580.8765248,5.75E-14,ENSMUSG00000020706,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Adap2,0.674709054,-0.648852086,-0.569014143,5.487724615,142.2295212,152.7157438,237.2537746,195.228262,316.4184165,260.1663248,248.639752,337.2453082,0.004375593,603.8712718,655.0146209,632.6738591,393.6321054,280.1703637,532.3469791,0.03299438,500.0730227,521.7213049,551.7483842,310.6924999,338.4244148,409.8570403,0.022161734,ENSMUSG00000020709,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.032596531,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0
Jpt1,1.06479118,1.169991025,1.388784331,#N/A,450.651146,599.518377,460.7221617,450.6671096,1058.648977,852.8273717,1025.795158,1166.199425,2.76E-11,261.6775511,373.7903086,377.0903796,789.5933948,867.2850509,622.6226032,2.14E-07,139.952177,169.9366199,122.3493219,395.9035231,375.927912,364.6449927,8.02E-09,ENSMUSG00000020737,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Nup85,-0.42224743,0.322847182,0.838526411,#N/A,703.4177408,791.5038835,688.543829,752.6323186,541.0872549,565.6728389,587.2396153,495.5703956,0.001418747,668.2842075,677.0541438,589.7274548,817.5436035,795.5690875,808.7579105,0.046284723,290.1447572,299.3743257,265.8744879,603.0318564,412.5384687,517.9728064,0.00059425,ENSMUSG00000020739,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0
Atp2a3,-1.117567658,-0.764796105,-1.571189835,#N/A,6873.39621,8406.347199,6418.186208,7477.972261,2434.892647,3937.039778,3905.768165,3167.788945,6.39E-10,4601.499091,4360.299213,4924.171874,2537.646028,2102.712047,3530.986781,0.001068392,3098.575334,4040.362252,2677.567852,690.8647572,1244.758929,1365.207264,6.85E-10,ENSMUSG00000020788,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0
Kif1c,-0.94808772,-0.316938662,-0.851584506,#N/A,11150.33067,10698.82868,10614.74839,9287.938953,5867.267886,5553.093671,5127.726343,5092.146715,3.35E-18,10462.06978,8717.953682,9870.340687,7508.124803,7777.835285,8032.66919,0.032740939,4684.984462,5342.680274,5502.190177,2119.788069,3717.310921,2764.814999,0.000208105,ENSMUSG00000020821,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0
Doc2b,2.40093536,-0.842585617,-0.950574339,#N/A,99.71526215,66.32226587,638.481106,376.7723001,1627.966871,1953.946257,1112.006931,1545.922195,0.004539592,874.606892,543.9354254,1429.801023,472.8243633,612.932434,501.6346534,0.041340313,277.3442532,227.9056538,228.2285427,106.1860443,136.6198825,135.6361428,0.000982909,ENSMUSG00000020848,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0
Lrrc59,1.098962341,0.802170446,0.635599715,#N/A,1610.130938,1865.750058,1614.341433,1860.142179,3569.999606,3143.586464,3748.33797,4425.379273,3.98E-15,1289.265165,1295.042366,1597.396747,2598.204814,2563.606639,2129.387916,1.24E-06,793.6312477,920.3576749,784.6826701,1371.242004,1313.515341,1200.085003,0.001050511,ENSMUSG00000020869,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Fbxl20,-0.512589711,-0.646525882,-0.568716168,#N/A,752.8888786,888.3692981,673.3073481,555.5794934,496.3887425,558.1161407,454.7983403,502.0063748,0.008517235,897.7552908,878.9361737,841.1210412,492.6224277,542.1726834,635.6520747,6.95E-05,775.7105421,858.4181593,745.8602892,502.0895674,530.4066027,572.0306894,0.007365308,ENSMUSG00000020883,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0
Kat2a,-0.496913809,0.751152276,0.573276556,#N/A,728.9262962,885.7513139,1111.537562,920.4921327,657.5386424,769.7036912,644.7141308,511.0167456,0.017730023,537.4454319,566.8565293,506.9770659,929.3444382,936.1323758,848.7770016,1.60E-08,194.5676607,193.7595105,201.1705196,312.0034387,311.6362026,253.5806149,0.047689117,ENSMUSG00000020918,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0
Lsm12,0.456420747,0.728826045,0.517677435,#N/A,281.3670963,336.8472977,368.5777294,446.1057016,445.808847,442.6066106,556.0034655,521.3143123,0.030958663,278.7872372,243.3163329,316.3369296,500.7745719,499.1431054,389.0227924,0.000635613,413.8829625,481.2223909,362.3422225,624.0068775,582.1971463,597.585325,0.035954589,ENSMUSG00000020922,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Strn3,-0.487819099,-0.418337578,-0.498969274,#N/A,1980.391486,2262.810992,2015.568764,2721.336008,1484.461121,1516.737288,1705.493776,1696.524108,0.001823006,2061.213941,1710.266978,1912.686203,1302.013887,1483.086123,1465.815546,0.008403619,2519.992553,2768.219892,2606.981705,1777.633038,2046.619416,1761.304116,0.007721418,ENSMUSG00000020954,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0
Pole2,-1.004535469,0.944320551,2.428874568,#N/A,61.06593574,61.08629751,38.4539757,31.01757434,22.34925618,22.67009469,27.48781178,23.16952499,0.013486016,38.24518055,57.30275957,40.85145779,80.35684992,89.88400748,93.06765369,0.006723363,11.94713706,21.44060157,22.35227996,128.4720042,69.64935186,101.2356718,1.99E-07,ENSMUSG00000020974,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0
Sptb,1.251283009,-1.186464781,-2.471449923,#N/A,414.3207792,138.7531615,418.6404524,114.0351998,771.6374766,718.9658602,508.5245179,586.9612998,0.046413646,410.6324648,349.1060429,385.4701658,186.3347244,149.1692039,168.4524532,6.26E-11,1723.801205,1162.557063,3201.081777,360.508175,369.6773291,366.6107339,1.30E-17,ENSMUSG00000021061,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0
Fut8,-2.253383657,-0.533791889,-1.342789421,#N/A,3193.980335,3965.37337,1995.253456,2658.388578,630.4842796,686.5800106,554.7540195,604.9820414,6.20E-29,1641.523407,1608.885172,1263.252772,975.9281193,977.2495281,1164.276348,0.005629533,2035.280135,2402.935569,2192.876308,718.3944724,1112.603749,780.3992566,8.03E-11,ENSMUSG00000021065,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0
Pygl,0.783006938,0.620610839,0.976630552,#N/A,91.98539687,101.2287216,108.10646,101.2632574,143.5057502,198.6332106,161.1785327,189.2177874,7.44E-05,138.8903925,143.6976894,125.6967932,258.5394302,172.1183122,199.1647789,0.029260279,64.85588691,94.49746619,71.76258303,116.6735548,190.196307,147.43059,0.011223139,ENSMUSG00000021069,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Hif1a,2.474400883,0.472144702,0.559632853,2.311403527,1793.328746,1980.068701,2519.098182,2184.002146,9619.590371,9969.444022,12894.28262,14627.69344,2.92E-46,2230.297897,2596.255799,2778.946603,3584.614261,3721.580395,3244.338408,0.002905212,1942.26314,2414.052918,1954.059843,2977.142056,3154.758463,3170.740557,0.00320337,ENSMUSG00000021109,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.037404685,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0
Pals1,0.375219463,-0.471304403,-0.478627704,#N/A,950.7734298,1058.53827,964.9771261,835.6499441,1142.164619,1034.188129,1398.130063,1369.576366,0.033439318,919.8972374,911.5546676,1023.381391,625.3859189,745.8460195,685.9086077,0.00283086,1366.24046,1631.073912,1325.843132,972.7166031,1154.571948,975.0076355,0.030571863,ENSMUSG00000021112,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0
Pcnx1,-0.353396656,-0.463546605,-0.578880347,#N/A,2306.5918,2561.261189,2824.553347,2672.072801,2245.512108,2066.217202,1684.253194,2116.149949,0.024575849,4139.537568,3415.24447,4486.328044,2920.796806,3330.489341,2480.252971,0.032462659,4137.976258,4751.078489,4525.748474,2666.449556,3446.749977,2865.0678,0.002604697,ENSMUSG00000021140,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0
Zmynd11,-0.32439337,-0.362942333,-0.539657969,#N/A,1450.895714,1541.992682,1551.218869,1751.580669,1230.385367,1210.151245,1328.161087,1258.877524,0.009583025,1541.884647,1452.84535,1471.699954,1113.349979,1142.67435,1215.463557,0.004368405,1890.207757,1970.947152,2079.938472,1166.735548,1643.010352,1273.800298,0.01407806,ENSMUSG00000021156,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0
Esyt2,-0.961872455,-0.618247116,-0.989527912,#N/A,11202.89375,14103.08077,8402.556464,13376.78508,5156.796795,5643.77405,7165.572752,6206.858306,6.26E-07,8156.287978,6427.606462,7002.358855,4430.108074,4062.948381,5568.23772,0.001679934,8112.959432,9926.204432,7637.421131,3553.955136,5319.246013,4056.306967,1.41E-06,ENSMUSG00000021171,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0
Rps6ka5,-0.506308031,-0.516532536,-0.954775044,#N/A,377.9904123,420.6227914,301.1018852,359.4389497,230.5502217,265.5639664,294.8692536,235.5568374,0.007135721,382.4518055,339.4086528,357.1883874,237.5767737,216.1041031,299.6778449,0.02729013,598.21022,756.7738259,671.7448346,205.8173945,407.1808263,429.5144523,0.001403696,ENSMUSG00000021180,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0
Lgmn,0.724268711,0.815853712,1.239741625,#N/A,1714.48412,2263.683654,2470.486552,1733.335037,3524.124817,3065.860425,3306.034089,3623.456269,1.04E-05,1696.878274,2787.558858,2428.043055,4088.882609,4085.897489,3995.394373,0.000169596,755.2297357,852.0653884,867.0331752,2245.638196,1809.990208,1788.824493,5.56E-12,ENSMUSG00000021190,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
