Genes,LB-Log2FC,LB-Padj,M_Log2FC,S_Log2FC,GB_log2FC,H-Control-1 Counts,H-Control-2 Counts,H-Control-3 Counts,H-Lung_Brain-1 Counts,H-Lung_Brain-2 Counts,H-Lung_Brain-3 Counts,H-Lung_Brain-4 Counts,H-Lung_Brain-5 Counts,H1,H2,H3,H4,M1,M2,M3,M4,S-SHAM-1,S-SHAM-2,S-SHAM-3,STROKE-1,STROKE-2,STROKE-3,GB-SHAM-1,GB-SHAM-2,GB-SHAM-3,GB-1,GB-2,GB-3,rMSG,M_Control_Exp,Meningitis_Exp,M_UP,M_DOWN,S_Control_Exp,Stroke_Exp,S_UP,S_DOWN,GB_Control_Exp,Glioblastoma_Exp,GB_UP,GB_DOWN,Control-H.Brain,H-Lung-Brain,H-LB-Regulated,HLB-UP,HLB-DOWN,MusGeneID,Homo_ID
Alcam,3.021194654,0.063424352,0.712025898,-0.603306565,-1.378458403,105.3963077,38.50619371,8.139084798,809.3013639,462.0293185,356.1912392,336.8077903,88.99038708,424.369604,329.8660066,465.075442,427.8600696,616.3689599,592.6610469,759.6631619,732.4144289,488.1292781,588.0144712,479.7427607,343.5546482,266.7833839,414.1510589,1751.108947,1942.359683,1625.834258,685.6210019,552.7301129,808.902504,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,ENSMUSG00000022636,ENSG00000170017
Retnlg,#N/A,#N/A,1.639865359,2.780482129,4.554249854,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,28.60050155,45.37839244,26.11968161,40.14039033,52.93244885,169.485946,124.944599,87.52931663,28.18065935,143.6976894,62.8483966,657.9944957,698.9915901,257.7974007,4.266834665,1.588192709,1.176435787,27.52971518,100.0093258,41.28056521,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,ENSMUSG00000022651,#N/A
Cd200,0.978878808,0.751599372,2.848560637,0.766378292,0.603306525,497.2924377,390.662838,2278.943744,1211.19932,3446.124674,2720.272887,2906.73936,116.4965067,4732.996513,5517.837988,6051.059572,7403.16517,41288.48638,35954.77018,44932.57669,48560.74999,5515.357616,7023.555161,6808.576299,10568.67265,13070.47339,9271.39966,1400.375137,1334.875972,999.9704192,1861.533122,2064.478224,1752.45828,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000022661,ENSG00000091972
B3gnt5,3.52156546,0.142185247,2.226196379,1.685239011,2.909245165,4.453365114,0,138.3644416,458.3288337,530.9218587,633.0656664,135.6427278,970.8042227,13.14077098,7.853952537,7.981013825,7.298252787,36.46457587,34.54490619,52.47673158,47.62624581,11.07097332,11.46055191,19.90199226,50.07745719,37.29230098,48.39517992,26.45437492,24.61698699,21.17584417,234.6580485,126.797538,185.7625435,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,ENSMUSG00000022686,ENSG00000176597
Zbtb20,-0.126257226,0.970579013,-0.697273817,-0.705671762,-1.067527907,2677.956888,2707.335474,538.5361108,2825.672959,1896.04252,1529.786291,1566.788458,1228.067342,1253.011162,1184.20151,1776.138349,1489.75585,945.7264195,795.6123708,782.1531897,995.0023788,2432.594773,1690.872198,2229.023133,1171.57958,1367.384369,1354.134361,15108.00818,16001.04154,15039.5551,6554.694091,7151.559732,8311.153796,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000022708,ENSG00000181722
Crybg3,-0.347620135,0.909805657,-0.365484999,-0.54692131,-0.610914126,427.5230509,1267.203829,217.0422613,682.6759805,393.8856103,403.1937945,598.5139573,427.153858,1453.214673,1400.621536,1947.367373,1627.510371,1240.971856,1309.46785,1253.194328,1186.794558,2019.949404,1578.02984,1768.134891,1157.604476,1414.238799,1100.059667,2231.55453,2371.171715,2301.1084,1230.97155,1879.63956,1406.487829,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000022723,ENSG00000080200
Tfrc,-1.025375381,NA,-2.006394175,-1.261794303,-0.56971379,5810.157018,5962.859124,4842.755455,1059.799405,1115.010787,539.7949708,9291.910029,1596.972946,5017.455555,4893.885092,8272.683603,5563.093187,1284.494092,1131.345678,1396.880617,2099.416403,9244.26272,6880.739053,4057.911474,2716.993201,1889.476583,3810.189742,4225.019685,3915.689124,3491.661417,2756.904335,2782.402313,2299.917205,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000022797,ENSG00000072274
Umps,-0.180480289,0.951228646,0.520303749,0.779261683,0.916835831,731.8363337,536.2862614,1379.574873,630.3741916,757.8179422,890.1108906,537.9728528,1077.592687,202.5224704,238.2365603,195.1720653,264.5616635,354.059269,283.9159478,321.1076194,330.809329,171.0968604,221.27681,209.4946553,342.3900562,349.0176886,342.4889656,83.62995943,108.7912006,90.58555562,178.2876793,185.731605,171.0194845,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000022814,ENSG00000114491
Hcls1,3.947137531,0.033929457,2.023371345,1.824799983,2.81069537,118.756403,42.70686938,2.713028266,1041.906688,1674.38826,723.3987023,731.4744843,43.68619002,169.2840497,256.5624496,184.2888647,187.9300093,819.8648189,846.3502018,672.2019426,902.3242788,159.0194349,218.6320673,234.634014,797.745539,764.9702764,607.7317786,56.32221758,81.79192452,34.11663783,302.826867,402.7161242,516.0070652,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,ENSMUSG00000022831,ENSG00000180353
Adcy5,-0.557685265,0.943080192,0.641733165,-0.887996864,-2.083013251,4.453365114,95.21531535,0,0,0.748831959,0.734414926,24.90615059,87.37238004,1388.283805,1165.00296,1635.382287,911.3693167,1959.676884,1949.628143,2159.042671,1892.177874,1546.916908,1658.253704,1606.824006,830.3541158,500.0993182,1269.442796,2025.893099,2147.236543,2572.865067,317.247194,539.3360067,732.2385972,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,ENSMUSG00000022840,ENSG00000173175
Slc49a4,0.081811988,0.980811374,-0.601171892,-0.355614891,-0.599572477,167.7434193,214.2344595,758.2914004,485.8560909,271.826001,462.6814035,531.0757649,258.881126,1825.021193,2235.758489,1905.285664,2155.721417,1104.523766,1415.261626,1475.595714,1357.991604,1330.529702,1313.555565,1370.095046,963.117607,1004.023488,1167.999054,481.2989502,499.486607,418.8111403,327.7347046,259.8456589,338.1074865,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000022848,ENSG00000138463
Samsn1,3.395872346,0.215244664,2.802875705,1.828674068,2.841651104,8.906730227,0,0,22.02180582,33.69743814,80.05122696,2.299029285,11.32604926,106.6721409,160.5696963,34.82624214,127.7194238,557.5551279,498.7420832,795.8970956,1144.317095,45.29034539,85.51334889,69.13323626,253.8810621,225.6662315,233.5998108,57.17558451,52.4103594,31.76376626,264.8096413,355.3902826,402.9769461,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,ENSMUSG00000022876,ENSG00000155307
Adamts1,2.083960374,0.318571309,3.790683404,1.450325806,1.209164383,2873.904953,781.3256759,860.0299604,6446.883654,14647.15311,6716.2245,3906.050756,186.0708093,2609.60252,2835.276866,3198.209904,3865.337132,46399.40839,35359.95008,32934.14685,58405.22372,4054.99559,5923.342177,8946.469257,18278.27188,21547.30026,11889.39276,2294.703683,3637.7554,3355.194865,6305.615716,9554.462371,5610.225387,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000022893,ENSG00000154734
Runx1,5.850657684,0.015722382,1.82891729,1.038139836,1.589702829,0,0,13.56514133,71.57086892,298.7839515,46.26814035,11.49514643,857.54373,45.60620517,60.21363612,58.04373691,49.26320631,142.3294736,147.8953796,217.4036023,251.0031874,50.32260599,80.22386339,135.1240527,197.9806447,168.2934608,178.6898951,147.6324794,187.4067397,98.82060613,422.1222995,401.8231838,489.469559,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,ENSMUSG00000022952,ENSG00000159216
Enah,-0.524731659,0.863324675,0.386586555,-0.540095138,-1.262157796,1950.57392,2314.572298,229.2508885,985.4758105,1348.646358,760.8538636,735.6893713,1376.923989,1751.587473,1363.969757,1783.393816,1546.317309,2039.663696,1856.788708,2186.530482,2346.558003,1549.936264,1292.397623,1423.516183,947.9779106,851.9856454,1132.633345,3098.575334,2996.125546,3356.371301,1036.952605,1404.595263,1494.946183,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000022995,ENSG00000154380
Soat2,4.803760015,NA,2.854824757,1.058679209,3.111157567,0,0,0,0,0,0,0,29.12412668,12.36778445,5.235968358,13.78538752,3.649126393,44.69851236,74.48745398,59.97340752,79.80614163,26.16775511,59.0659214,38.75651124,97.82573033,80.32187902,81.89953524,6.826935464,5.558674482,1.176435787,26.21877636,50.89760328,44.22917701,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,ENSMUSG00000023045,ENSG00000167780
Calcoco1,-0.939747658,0.609277964,-0.795453919,-0.582461424,-0.791206617,2079.721508,1505.242118,1200.515008,1280.017463,784.0270608,862.9375383,961.7605844,268.5891683,2241.660932,2416.399397,2035.884072,2464.072597,1396.240373,1314.865492,1289.428262,1274.323874,2009.884883,2000.307099,1812.128769,1309.001439,1064.264897,1515.141402,721.0950584,890.1820135,810.5642575,440.4754429,489.3313439,468.8292763,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000023055,ENSG00000012822
Nus1,1.133022078,0.493379052,2.413806975,0.815099232,0.603031061,97.9740325,48.30777029,169.5642666,337.2089016,286.0538082,216.6524032,168.5954809,144.0026264,1484.134134,1624.022852,1829.828806,2001.545827,8650.338419,7301.929547,9198.421378,11828.04251,1788.465417,1582.437745,2237.402919,3614.893654,3850.669129,2401.145465,1123.030884,1239.584409,1109.378947,1843.179978,1963.575958,1468.408677,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000023068,ENSG00000153989
Abcc1,3.309784252,0.157556549,0.62325241,0.780334019,0.828475916,41.56474106,112.0180181,0,192.6908009,335.4767175,205.6361793,115.3346358,1697.289383,300.6917595,308.0494717,395.4229577,370.3863289,496.3887425,492.2649133,552.2551276,577.9509289,346.2195292,431.0930681,432.6064633,755.820226,720.0282727,604.0090724,346.4669748,381.1662502,323.5198415,692.175696,547.3724704,631.0029254,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,ENSMUSG00000023088,ENSG00000103222
Bsg,-1.686859657,0.273198322,-3.518021706,-0.842949377,-1.033272168,97935.43667,92226.5346,69709.90478,23773.91575,15651.33677,22043.46401,63832.54811,9224.258122,180685.601,258847.9497,157609.7866,237308.163,12114.47313,29183.96856,19974.89304,11565.45456,75315.83147,69060.40425,73935.90124,34916.79818,40168.58921,46621.31044,22668.83921,28420.70853,30284.98647,12178.62162,16132.75436,11445.52814,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000023175,ENSG00000172270
Parp3,-0.480320088,0.872351335,2.825774539,0.498901258,1.920046035,866.9217421,235.2378379,226.5378602,278.0252985,331.7325577,542.7326305,302.322351,131.0585701,235.7608911,283.6149527,281.512124,208.0002044,1610.322722,1363.444266,2035.347518,2149.617041,303.9485402,320.8954536,357.1883874,436.7220104,458.9821658,490.4665349,150.1925802,187.4067397,119.9964503,600.4099788,516.1195561,624.1228312,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000023249,ENSG00000041880
Clec4n,#N/A,#N/A,2.423799057,0.753411016,1.656124833,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,70.34177408,160.5696963,95.04661918,131.3685502,450.5139535,422.0955726,687.1952945,890.7395163,78.50326534,96.97390081,127.7917398,171.1950281,130.044947,209.4022208,33.28131039,55.58674482,36.46950941,140.2704536,118.7610743,138.5847546,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,ENSMUSG00000023349,#N/A
Pisd,-0.414662271,0.8510093,1.657024272,0.910212512,0.638158961,942.628949,686.1103606,960.4120062,656.525086,636.5071649,457.540499,663.2699488,823.5655822,730.4722692,889.2419595,831.4765312,880.3517424,2620.744356,2520.698624,2277.74004,3085.408411,783.0197491,989.1337882,1051.66317,1852.865916,2025.258807,1429.519161,196.2743946,262.8458934,194.1119049,297.5831117,400.037303,319.4329451,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000023452,ENSG00000241878
Tiam2,-0.527330496,0.921069691,-0.897573439,-0.746209171,-0.911912515,89.06730227,28.70461713,4.069542399,0,47.92524536,9.547394041,17.24271964,66.33828855,218.7551875,150.0977596,247.4114286,227.158118,127.0378772,113.3504735,131.1918289,81.09333747,212.3613973,149.8687558,196.924976,100.1549144,116.6579672,115.4038906,320.0125999,240.6111954,318.8140984,115.362616,200.0186515,149.3963312,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,ENSMUSG00000023800,ENSG00000146426
Nfkbie,1.045529785,0.683563748,3.546862008,1.004075304,1.999303084,41.56474106,67.91092345,606.3618175,250.4980412,581.0936,487.651511,536.8233381,605.1346321,88.12046423,107.3373513,46.43498952,58.38602229,815.1597123,629.3650097,1030.792942,1029.756666,77.49681322,116.368681,142.4563656,242.2351418,234.2721472,198.2341024,64.85588691,91.32108077,72.93901881,271.3643354,300.9209177,344.9875807,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000023947,ENSG00000146232
Emilin2,-0.782892528,0.707653369,1.927719388,2.818727122,2.595893808,292.4376425,604.8972975,702.6743209,156.9053665,468.0199742,345.1750153,410.3767274,168.2727319,19.32466321,16.58056647,44.9838961,20.07019516,104.6886211,100.3961336,98.70623321,83.66772913,34.21937207,84.63176798,93.22512163,692.9322565,314.5940262,490.4665349,28.16110879,17.4701198,44.70455992,129.782943,222.3421617,182.8139317,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000024053,ENSG00000132205
Prkd3,-0.323091441,0.909805657,-0.776877886,-0.480232115,-0.491670865,409.7095905,340.2547298,607.7183316,426.6724878,313.0117588,449.4619349,490.4595809,127.822556,2489.016621,3042.970278,2683.071738,3363.582253,1587.973465,1797.41465,1725.484912,1645.036274,2770.762686,2297.399868,2678.389169,1772.509066,2003.265911,1775.730832,2450.016465,3051.712291,2342.283653,1567.882827,2095.731139,1913.649059,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000024070,ENSG00000115825
Ralbp1,0.21499679,0.9489596,-0.488452012,-0.50673808,-0.770240676,601.2042903,2131.142793,356.763217,1219.457497,1201.875294,1215.456703,1153.72953,1187.617166,1986.575378,2085.660729,2643.166669,2878.248443,1834.99156,1746.676819,1605.538097,1650.185058,2939.846642,2710.861318,2812.465748,1843.54918,2041.514425,2068.893941,1999.438724,2204.41148,1958.765586,1147.071466,1302.800056,1162.73592,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000024096,ENSG00000017797
Epas1,-0.784036307,0.829851073,-0.98177307,-0.49245436,-1.07009962,54276.12955,42705.46916,5276.839978,24952.08236,16096.89178,18239.19469,38941.72438,744.2832374,56925.0469,50164.06752,62627.74103,57896.12707,30584.36895,30697.46727,26160.90014,27809.86597,78919.93652,66317.80602,74354.89055,48876.76281,50681.19324,56529.29285,43525.98042,51648.0269,39721.17792,14641.87566,26506.93603,23096.47624,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000024140,ENSG00000116016
C3,0.934930788,0.888755901,5.174043136,2.608759389,5.867424541,57.89374648,88.21418922,0,0,269.5795051,35.98633139,0.383171548,160.1826967,22.41660932,16.58056647,19.58976121,25.54388475,558.7314045,817.2029372,584.7407233,1072.234129,31.20001571,37.90797941,67.03828971,301.6293352,261.0461068,264.3121365,33.28131039,10.32325261,24.70515153,1342.40135,708.9946844,1924.460635,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,ENSMUSG00000024164,ENSG00000125730
Jpt2,0.380172087,0.892899979,1.67495394,1.132805113,1.116670898,322.1267432,474.6763515,122.086272,414.285222,298.0351196,317.2672481,334.8919326,631.0227447,361.7576952,424.113437,427.347013,437.8951672,1115.110256,1112.993696,1606.787543,1437.797745,267.7162638,318.2507108,235.6814873,659.1590877,593.8081771,552.8218629,168.1132858,249.3462553,162.3481386,426.0551159,391.1078989,444.2575113,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000024165,ENSG00000206053
Tmem204,-0.61127745,0.895742734,-1.28458128,-0.377015088,-1.07728086,21153.48429,10041.71521,8768.507356,11485.7481,9030.16459,7837.676093,15233.75122,12.9440563,6024.657002,8322.571705,6887.614931,10503.09804,3330.039171,3725.452227,3039.902094,2930.944911,6159.486973,6069.684609,5475.142817,5110.229818,4018.006377,4507.266468,1333.812516,1342.816936,1177.612223,547.972426,796.5028444,480.6237235,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000024168,ENSG00000131634
Telo2,0.261701962,0.947582373,-0.585420551,0.685844284,0.708053236,650.1913066,255.5411037,103.0950741,56.43087742,508.4569,459.7437438,380.4893467,609.9886532,210.2523357,284.4876141,214.0362798,192.4914172,154.09224,155.4520779,134.9401669,155.7506958,205.3162324,244.1979138,187.4977165,366.8464887,341.3679858,319.2220521,176.6469551,195.3477032,136.4665513,267.4315189,286.6338711,279.1352505,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000024170,ENSG00000100726
Nudt12,-1.066504622,0.776854863,-2.440584948,-0.664395592,-1.015241762,210.7926154,95.21531535,203.47712,0,35.19510206,63.15968366,95.40971535,211.9589219,318.4704497,381.3530288,258.2946292,277.3336059,67.04776854,65.85122743,53.72617757,39.90307082,236.5162481,210.697839,184.3552967,110.6362426,144.3881397,142.3935101,290.1447572,256.4931225,254.1101301,83.90008437,163.4080948,146.4477194,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,ENSMUSG00000024228,ENSG00000112874
Mib1,0.254605611,0.919403338,-0.521554452,-0.478828398,-0.607626255,356.2692091,585.9942569,359.4762453,560.1796856,527.1776989,418.616508,593.1495556,490.2561324,1981.164472,1761.903353,2067.808127,2163.01967,1373.891117,1290.036341,1364.395021,1527.901454,2233.317254,2021.465041,2081.329401,1452.246259,1529.940553,1562.605905,5482.882545,6240.009154,5984.52885,3730.931877,4076.272965,3812.555059,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000024294,ENSG00000101752
Zfp871,#N/A,#N/A,-0.323840644,-0.385701192,-0.554178968,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,965.4601738,1093.444725,1113.714202,1209.685399,926.9059932,847.4297301,855.8705031,870.144383,1320.465181,1049.081291,1070.517689,838.50626,944.7382914,848.7770016,2253.74207,2399.759183,2044.645398,1469.562415,1394.772918,1698.400397,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,ENSMUSG00000024298,#N/A
Myo1f,0.804198156,0.867008655,0.730502805,1.74923004,2.51181374,311.735558,0,147.8600405,96.34540047,491.9825969,354.7224094,313.4343259,79.28234485,70.34177408,109.0826741,67.47584415,50.17548791,99.98351449,160.8497195,92.45900326,139.0171499,50.32260599,111.9607764,69.13323626,335.402504,172.1183122,273.6189018,43.52171358,73.05686462,70.58614724,273.986213,350.9255805,438.3602877,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,ENSMUSG00000024300,ENSG00000142347
Dtna,-1.053348764,0.795085044,0.643651762,-0.672348693,-1.451436427,17.81346045,170.8274775,46.12148052,0,95.85049072,43.33048065,10.72880333,38.83216891,406.5909139,261.7984179,441.1324005,249.0528763,581.0806607,464.197177,536.0123297,544.4838373,344.2066249,327.9481009,347.7611279,232.9184056,174.0307379,233.5998108,1268.956629,894.1524952,1197.611631,347.3987868,466.1148932,412.8056521,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,ENSMUSG00000024302,ENSG00000134769
Wdr46,1.223684738,0.449053038,0.43322778,1.197283596,1.113964091,510.652533,266.0427929,122.086272,798.290461,867.1474082,611.0332186,362.480284,859.1617371,258.950487,277.506323,263.3734562,266.3862267,362.2932055,323.8584956,383.5799189,370.7123998,227.4581791,241.5531711,224.1592812,639.3610232,490.5371898,462.5462388,79.36312477,100.0561407,92.9384272,194.0189451,214.305698,180.8481905,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000024312,ENSG00000227057
Psmb8,-1.609290369,0.309663398,3.361368212,0.688213556,1.765816689,5811.641473,7524.810363,28436.60577,4697.526454,5113.773446,6824.91791,4235.578287,1946.462466,1604.720033,2056.862903,1044.061718,1516.212016,16539.62585,14284.31871,15836.72792,17269.01929,633.0583833,679.6988866,578.2052488,904.8880056,1203.871973,938.1219492,183.4738906,156.4369818,124.7021935,549.2833648,465.2219528,572.0306894,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000024338,ENSG00000204264
Tap2,-0.76102126,0.798089908,2.870906923,0.416393094,0.849376123,396.3494951,1052.269257,119.3732437,75.69995751,571.3587845,381.8957616,310.7521251,202.2508797,1927.055415,2188.634774,1572.259723,2046.247625,14422.3279,12186.79519,13935.07113,16023.01373,1298.323234,1364.687259,1217.163948,1745.72345,1856.009133,1578.427407,432.657035,469.3109455,409.399654,869.1524365,678.6347105,818.7312101,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000024339,ENSG00000204267
Sting1,0.566915683,0.844973812,4.387843709,1.604692115,3.485491126,4022.873153,2028.226239,3887.769505,4631.461037,6282.700134,7389.682988,5410.382252,821.9475752,207.9333761,250.4538198,301.8274319,187.0177277,4838.025825,4298.681765,5726.210972,4995.607027,312.0001571,722.0147705,490.2174935,1490.677796,1860.790197,1287.12565,32.42794345,46.05758856,31.76376626,503.4005062,322.3514875,420.6686169,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000024349,ENSG00000184584
Lama3,-1.574799474,0.343738525,-1.83383095,-0.634540824,-1.349351682,500.2613478,1502.441667,147.8600405,272.519847,160.2500392,242.3569257,250.5941921,278.2972105,833.2794775,723.4362948,698.701483,602.1058549,162.3261765,232.0985885,256.1364279,150.6019124,915.8714289,670.0014965,874.6401861,512.4204922,487.6685512,583.5341886,1575.315358,2055.121366,1484.661964,300.2049894,750.9628835,955.3502235,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000024421,ENSG00000053747
Mrps18b,-1.43916342,0.281685192,1.016452318,1.06820442,1.346744219,4037.717703,4339.297974,11835.58581,2455.431349,1804.685021,2776.822836,2653.462967,2732.813887,44.83321864,54.10500637,54.41600335,72.98252787,105.8648977,118.748115,132.4412749,99.11407913,57.36777082,61.71066415,62.8483966,135.0926752,148.2129911,98.65171291,17.92070559,19.05831251,29.41089468,73.41257382,35.71761634,58.97223602,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000024436,ENSG00000204568
Lars1,0.006468341,0.998572207,0.425395652,0.382952614,0.533525029,1665.558552,1471.636712,1710.564322,1880.111672,1599.505064,1666.387468,1867.194951,1101.862793,1201.994052,1390.149599,1155.070364,1110.246705,1545.627506,1735.881536,1545.56469,1695.236912,1058.78763,1150.463096,1033.856124,1381.206145,1433.363055,1415.559013,847.3933645,1022.796105,855.2688174,1423.679557,1210.827194,1314.097993,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000024493,ENSG00000133706
Sec11c,-0.762212551,0.719669121,-0.609001744,0.527830659,1.200350233,1477.032763,1841.296172,6048.696519,1482.342804,1418.28773,1810.332793,2297.496599,2195.63555,1297.844381,1297.647491,1003.431102,1316.422346,776.3425831,825.8391637,852.1221652,767.1687164,725.6519783,812.8176049,665.1455307,979.4218953,1188.572567,1009.784042,276.4908863,322.40312,283.5210247,886.1946411,606.3065374,539.5959596,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000024516,ENSG00000166562
Ptpn2,0.550086463,0.781231814,1.601931253,0.782604346,1.03406385,446.8209664,309.4497749,370.3283583,353.725256,612.5445422,624.2526873,505.7864428,652.0568362,408.1368869,481.709089,420.0915459,504.4917239,1209.212387,1131.345678,1280.68214,1885.741895,361.316311,384.3692796,389.6600589,688.2738884,704.7288671,561.1979517,207.3681647,239.8170991,287.0503321,579.4349577,503.6183904,418.7028757,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000024539,ENSG00000175354
Psat1,10.71956013,1.15291E-08,0.553087389,0.505141631,1.004843763,0,0,0,832.6995326,402.1227618,149.820645,210.7443512,144.0026264,617.6162361,366.5177851,487.56739,364.9126393,801.0443926,617.4901982,592.2373992,686.0753789,301.9356359,299.7375116,328.9066089,447.2033387,505.8365953,367.6172321,143.3656447,152.4665001,168.2303176,405.0800948,245.5586123,282.0838623,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,ENSMUSG00000024640,ENSG00000135069
Cyb5a,-1.570684852,0.291766562,-0.341112164,0.373603165,-0.67655335,2410.754981,3177.111037,11287.5541,1280.017463,1767.992255,1797.113325,2777.99372,1844.528023,2406.307063,2747.138065,2048.943913,2367.370748,1867.927306,1797.41465,1906.654581,1982.281583,1505.652371,1712.03014,1371.142519,1951.856239,1947.805566,2047.488381,699.7608851,738.5096097,634.0988894,315.9362552,546.47953,431.4801935,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,ENSMUSG00000024646,ENSG00000166347
Slc22a6,5.096141872,NA,-1.10552382,-1.212023994,-2.732309967,0,0,0,0,0,0,0,35.59615483,485.4355398,592.5370859,539.0812065,655.0181876,205.8484122,302.2679292,343.5976472,203.3769416,391.5098746,709.6726377,476.6003409,229.4246295,119.5266057,332.2515237,223.5821364,364.4902267,238.8164648,26.21877636,26.78821226,70.76668322,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,ENSMUSG00000024650,ENSG00000197901
Anxa1,0.169438724,0.963273238,2.20766189,0.483907049,1.68212478,9139.789668,2956.575564,3917.612816,2525.625855,13799.47534,6520.87013,3236.650062,3931.757102,607.5674112,668.4586271,425.8959195,297.4038011,2357.258389,2073.7739,3002.418714,1803.361362,462.9679751,526.3038071,496.5023332,647.5131674,677.9549075,751.9866418,278.1976202,414.5182971,237.640029,1119.541751,835.7922224,1039.877095,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000024659,ENSG00000135046
Fth1,0.285757167,0.939116435,0.681131378,0.398275973,0.480520573,26.72019068,39.90641893,24.4172544,26.15089441,57.66006082,7.344149262,30.27055226,64.72028151,51598.39674,34992.8492,59436.06104,30718.34598,73040.89803,75668.45796,64801.26682,69885.72335,31513.02232,37598.5445,35290.42217,45427.24123,47926.34403,44242.50121,1198.127174,1186.379954,1329.37244,1794.675242,1690.336193,1695.451786,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,ENSMUSG00000024661,ENSG00000167996
